sentiment_polarity,sentiment_subjectivity,absPolarity,Clean tweet,L
-0.23,1,0.233333333,I was drunk as shit last nite,
0,0.9,0,Maya can come home drunk of patron all she want  Better kno Im dropping  Nvm nvm,
-0.27,1,0.270833333,Lmao told me I was fucked up I said drunk or ugly MF told me BOTH lmaooo I thought I was rather handsome that day ,
-0.15,1,0.15, cause we were still drunk lets be real,
-0.57,0.52,0.566666667, nasty victimblaming nonsense 2 hgv drivers drunk 2 on mobile 4 dead cyclists,
-0.5,1,0.5,I just wanna get really drunk tonight,
0.2,0.58,0.2,young thugs part in Maria Im drunk is the best thing ever,
-0.25,0.56,0.25,Dear future generations Please accept our apologies We were rolling drunk on petroleum Kurt Vonnegut,
-0.5,0.9,0.5,imjackie can we get really fucking drunk on thanksgiving,
-0.07,0.5,0.071428571,Waiyaki way inbound Leo ppl are drunk A starbus has overturned right under their bridgePremio same at Cooperation  chida iko,
-0.5,1,0.5,I drunk dialled someone this weekend I dont know what I said but they wont talk to me ,
-0.25,0.75,0.25,If she didnt text you  when shes drunk you aint the only one,
-0.07,1,0.071428571,Waiyaki way inbound Leo ppl are drunk A starbus has overturned right under their bridgePremio same at Cooperation chida iko via ,
-0.17,1,0.166666667,Like you were drunk outside of DX and slipped one night and you were twerking on 7 different guys at a party amp I played you in intramurals,
-0.06,0.52,0.056666667,Being high way better than being drunk with tf wrong with Mfs yall gotta be drunk I love smoking weed and im off the lean ,
-0.2,1,0.2,same shit different daybut at least today ends with me drunk at Luckys ,
-0.01,0.58,0.01,  ill tell ya the worth youll will get our fabulous slightly drunk company haha whocanresist ,
-0.25,0.56,0.25, Drunk man in public making nuisances may Also be taken care of,
-0.39,1,0.388888889, If you didnt want this tough job maybe you shouldnt have blown  so often you drunkdriving asshole,
-0.5,0.53,0.5,call your friends lets get drunk ,
-0.25,1,0.25,I usually go through and delete my embarrassing drunk tweets but I think at this point I just need to delete my entire account,
-0.23,0.79,0.225,if youre tired enough you show some of the same side affects as being drunk and I just feel like thats the point I am always at,
0.25,0.5,0.25,The best drunk footballerWine Rooney,
0,1,0,Tomorrow is my babies birthday  Kane88,
-0.14,0.75,0.14,You wanna call the phone on the late night when you drunk as fuck you lame Trina Perfect hotlineblingremix,
-0.5,1,0.5,Am I getting drunk this weekend,
0,0.77,0,The weeknd  Drunk in Love,
-0.5,1,0.5,you know whati wish i was drunk watching cartoons,
-0.5,0.8,0.5,Dont get drunk in your emotions,
0.07,1,0.066666667, wait on second thought your drunk imagination can make a good plot Angst somewhat,
0,1,0,Maria Im drunkgt,
-0.1,0.8,0.1,in the mood to get drunk and not give a fuck lmao,
-0.5,1,0.5, come get drunk wif me,
-0.09,1,0.09375,You know when youre not drunk enough to be that drunk girl making out with other girls at the bar JosieSalemi,
-0.25,0.8,0.25,notAnam only got drunk once in the 3 weeks Ive been 21,
-0.42,1,0.425,Is it bad that Im starting to have a collection of random drunk videos of myself,
-0.3,1,0.3, Rape never justified but If you dont want to get mugged in a dark alley dont go in dark alleys Too drunk is too drunk,
-0.33,0.5,0.328571429,The fucking snake escaped while we were sleeping and hes drunk and angry right now,
-0.25,1,0.25, Oh no Blair we arent having dinner alcohol The goal is to get as drunk as possible Spill our deepest secrets and see how,
-0.5,0.8,0.5,Oh my god oh my god baby im too drunk to drive wont you let me come inside Tryna make me cum inside,
-0.5,1,0.5,Drunk Wednesday how bout that,
0.13,1,0.125,I always see tourist wearing heels on bourbon  falling everywhere drunk lmao ,
-0.33,0.8,0.333333333,Lets get drunk and go Black Friday shopping yall,
0.5,1,0.5,Happy Birthday to this stud So glad you came to BSU so we could take drunk selfies togetherHave the best day ily ,
0.03,1,0.033333333,I honestly dont know how drunk you need to be when you watch Ouat these days to actually understand anything anymore,
-0.5,0.66,0.5,Yall just want my fat ass to get bucked off from horses and bulls when Im drunk ,
-0.21,0.6,0.211111111,Dutoit BREEZYTaker04 u are drunk nd bitter u probably drank BLACK LABEL  HAHAHA NASTYC IS THE SHIT FUCK THE RUMOURS PLEASE,
-0.13,1,0.125,Never fail to embarrass myself when Im drunk,
0.15,1,0.15,me still so FUXKING drunk and awake ate 420am lol,
-0.41,0.5,0.40625, I mean  he tried  A for effort  He also looked kinda like Santa Clauss drunk cousin ,
sentiment_polarity,1,abs Polarity,Clean tweet,
-0.35,0.8,0.35, yhyhyh no worries i might be a bit to drunk for osrs but i can still chat and shit yo,
-0.5,1,0.5,Andy drunk,
-0.13,1,0.125,I know exactly why I be kissing girls when I get drunk ,
-0.5,0.63,0.5, that happened to me and some friends the guy was drunk and he got in a fight with my friend,
-0.13,1,0.133333333,3hrs early for soccer with my sister only means one thing We playin drunk ,
0.24,1,0.2375,I have to ask you a question but you have to get good and drunk first Your brain works better that way work,
-0.64,0.7,0.640625,  I may have gotten drunk with this guy at a beach party Bernie here Well one of us got drunk ,
-0.38,1,0.375,Those drunk sex dayz  No more of those bcuz he doesnt drink,
-0.45,0.75,0.45,Josh would fuck a table leg if he was drunk WHAT,
-0.18,1,0.175,Sober I hate you drunk I love you,
-0.25,1,0.25,Three drunk girls listening emotionally to Adele  not gonna end well,
-0.5,1,0.5, anime tiddiedrunk adventurestexas,
0.15,0.85,0.15,Happy birthday   pop that pussayyyy and get drunk ,
-0.5,0.8,0.5, hello drunk im toby,
-0.5,1,0.5,Is  drunk at all times scaryshit,
-0.5,1,0.5, Cole and MadBum Was he drunk,
-0.5,0.59,0.5,so lets get drunk on our tears,
-0.5,0.6,0.5,Sent this v drunk snap to  he replied and it made our night   ,
0,0.68,0,and blame me for being tw sexual assault mention d at a party while drunk,
-0.5,0.8,0.5,bri I drunk me some apple cider vingar,
-0.35,1,0.35,Been offline for a few days and return to find that the racists arent as racist now as they were when drunk on Friday,
-0.4,0.38,0.4, Lets have some whiskey get drunk and get some burritos Late night snack,
0.26,0.6,0.26,last night my white boy roommate was a lil drunk amp too happy he was hitting his whip amp nae nae it was the greatest thing ever,
0,1,0, I get smarter when drunk more eloquent anyway  its something,
-0.5,0.95,0.5, I do too Lets just get drunk and sleep for 10 years,
0.07,0.52,0.066666667, ok truth be told there isnt a whole lot of pretending on the drunk part,
-0.28,0.63,0.275,Fuck white girls wasted Im getting Brenden Drunk on my birthday 115,
-0.33,0.53,0.327777778,Is anyone down to drunk,
-0.5,1,0.5,Lowkey drunk rn,
0.15,0.64,0.145454545, I miss you  tell grandpa fly you to New York so we can get drunk ,
-0.2,1,0.2,Drunk minds speak sober thoughts asshole,
-0.5,0.77,0.5, Go home Dana youre drunk,
-0.13,1,0.133333333,When sober girls around me they be acting like they drunk ,
-0.2,1,0.2,Apparently Drunk Me remembers my HS locker combination amp chose to set my iPhone passcode to it before confirming Sober Me remembers it too,
-0.5,0.73,0.5,ill be drunk texting youu,
-0.5,1,0.5,Is it weird to say I cant wait to sit in my garage over winter break and get drunk with my friends,
-0.03,1,0.03, isnt jersey shore the american version of geordie shore honestly it makes the uk look like were full of dirty drunk chavs,
0.25,0.77,0.25,why am i not drunk,
-0.5,0.71,0.5,Im boutta be drunk ,
-0.08,0.53,0.083333333,Talm bout you pregnant You can get off my line so you must be drunk shorty,
0.03,1,0.028125,I was worried I was a little election coverage drunk but Im loving  as much now as I did during those 77 days,
-0.58,0.8,0.583333333, youre drunk Hamonic 18gp 0g 3a 5 AND asked for a trade Idiotic move for Oilers,
-0.5,0.6,0.5,I want to get drunk with Phil Anselmo one day ,
-0.5,1,0.5,Going on a wine drunk tonight ,
0.1,0.75,0.1,Love how I renamed one of the chats golden cunts when I was drunk and its stuck with that ,
-0.35,1,0.35, Newton ano yeah the fucking spaz hahaha he was very drunk,
-0.25,1,0.25,I remember last year for my moms 50th they rented out 8 taxis to take all their drunk friends home ,
-0.2,0.71,0.2,my 6 yr old brother watching jake and the neverland pirates lets turn up and get drunk,
-0.25,0.53,0.25, omg  no but actually this guy was 100 drunk he sat on two people and I was scared he was gonna sit on me,
0,1,0,ok josh is drunk,
-0.5,0.8,0.5,Lets get drunk and lets get lost,
0.02,0.8,0.016666667,Chip amazing gig needed to be very drunk to overcome the fear to leave alone a 6 Year old kid,
0.03,1,0.033333333, do you not care about your lipstick i was 14 the last time i drunk out of a canbottle like that  i use straws now lmao,
-0.5,1,0.5, I need a girlfriend the can cuss me out when Im drunk then Ill fake pass out,
-0.23,0,0.233333333,If you have to get drunk to have fun youre lame af,
-0.5,0.8,0.5,When you drunk AF but trying to pour shots DoItForState ,
-0.5,1,0.5,Buddy ass drunk omm,
-0.5,1,0.5,Miss singing drunk af and watching it burn away with  lopez95 ,
0,0,0.004761905,Kinda slightly really wish I was drunk right now,
-0.07,0.8,0.066666667,Maybe you forget so much because youre drunk all the time not because youre old,
-0.23,0.54,0.231875, drunk as fuck off tequila and maybe a little high off glue in a beachside tattoo shop in Cali,
-0.25,1,0.25, I understand not wanting it to be constantly drunk but come on NAKED DEEKS ,
-0.5,1,0.5, Yep definitely drunk,
0,1,0,gambit how does this even happen,
-0.5,0.47,0.5, we were too drunk ,
-0.25,1,0.25,Related my gran was worried I would get arrested in Dubai because she gets drunk and swears a lot,
-0.5,1,0.5,This man just said I cant even lie Im drunk ,
-0.1,0.54,0.1,phil looks drunk dan looks terrified and the lady just looks crazygreat photo ,
-0.42,1,0.416666667,Seriously wanna get drunk whitegirlwasted,
-0.5,1,0.5,immmmmmm going to get drunk 2nite,
-0.5,1,0.5,Never forget we even made up the word strunk meaning you are both stoned and drunk,
-0.5,1,0.5,Is you drunk or not shawd,
0,0.47,0,Ill risk it all for Ice La Fox,
-0.1,0.53,0.1,You aint gotta get drunk to have fun ,
-0.33,0.51,0.327777778,Sit yo drunk ass down in too close to home Bruh,
0,1,0,Nessies drunk,
0.15,0.53,0.15,I just want to get really happy drunk and be surrounded by puppies all day ,
-0.13,0,0.133333333, hey possible drunk driver was heading south on Dakota street Silver car nearly slammed into us and another driver,
-0.5,1,0.5,Ive never been so tempted to get drunk on a school night,
-0.5,1,0.5, Ciara is going to be there so no running around the hotel drunk at 3 am P,
-0.16,1,0.156818182,I cant wait til New Years because Ima get drunk as fuck and sing Adele karaoke all night into the new year,
-0.5,1,0.5,Deffos getting a drunk tattoo on holiday,
-0.5,1,0.5, are you drunk are somethin,
-0.07,1,0.066666667, Still furious that greek place beside the crooked cue was closed Drunk shwarma is almost as good as drunk gyros,
-0.1,0.47,0.1,Ill date you if you make me laugh amp Get drunk with me,
-0.5,1,0.5,      reminds me of   MLSC 09 drunk offering mustache rides,
-0.63,0.75,0.625,taylor Dion has drunk the koolaid of climate change,
0.28,0.77,0.275,Happy 21st Rosee Go get drunk for me tonight lol,
-0.63,1,0.625,p  i needa get drunk asap ,
-0.5,0.6,0.5,Mr Snyders drunk if he thinks Im reading 40 pages of this book tonight,
-0.4,0,0.4,Some people are so rude and inconsiderate when they are drunk,
0.14,0.8,0.1375,Drunk amp alone is pretty much the story of my life lmao,
-0.34,0,0.34375,if quarter at one im little drunk and i need you now,
-0.5,1,0.5, Elliott92  hey lets get drunk tonight friends ,
0.05,1,0.05,Poppys drunk off of like three beers lmao,
-0.25,0.47,0.251437717,Last time I got drunk I broke into a bmw for no particular reason at all   ,
0,1,0,job interview tomorrow thank god ,
0.15,0.75,0.15,Ill just probably get drunk alone lol see yall tomorrow,
-0.5,0.77,0.5,Lets get drunk and forget what we diddd ,
-0.2,1,0.2,I could be Gone as Fuck on dat Loud Straight an Drunk as Fuck an Still Deliver on the Track Everytime,
0.35,0.57,0.35,IT hm Phoenix is relatively conservative org structure wise They dont refactor even to Spotify model let alone skunkworks,
-0.5,0.65,0.5,Drunk history cracks me up ,
0.12,1,0.125,Canuck To be honest things were really slow between 1995 and 2008 Only really picked up since 2010 or so,
-0.5,0.77,0.5,Someone take me to the phantom room and watch me drunk dance to Goodbye Horses,
-0.07,1,0.066666667,is it ok to drunk call my mom will answer in a few,
0.8,0.88,0.8,Reese swear I was just about to reply and say her Lol,
-0.5,1,0.5,I went out to eat and everything yesterday and aint eat none of my food just drunk water,
0.25,0.57,0.25,Ive never had Starbucks Coffee bought it for someone but never drunk any,
-0.5,0.65,0.5,Go home commuter south youre drunk ,
-0.5,1,0.5, I got taken advantage of while drunk too Im sorry that happened to you,
0.32,0.77,0.32,Happy 18th to my bff have a great day and we will be reunited and drunk next weekend love you xxxxxx  ,
-0.03,1,0.033333333,lmao crying even Shawn thinks Im always drunk at this point I SWEAR I AM NOT ,
-0.5,1,0.5, youre drunk Star Wars Go home,
-0.5,1,0.5,Go home Kidz Bop Youre drunk enoughisenough,
-0.5,0.74,0.5,One time my Grandma got so drunk at a memorial service she thertened to extract urine from my dog on my brothers bed MyFamilyIsWeird,
-0.63,0.85,0.625,I just noticed  that in the candy haul you did with  The Getting Drunk Challenge you kept snorting just like me,
0.15,0.88,0.15, Happy birthday fuckboii dont get too drunk know what youre like,
-0.5,1,0.5,Lets get drunk forgwt what we did,
0.3,1,0.3,My mom is thrilled because her Chinese word on her fortune cookie was drunktipsy,
-0.5,1,0.5,These mosquitoes finna get drunk off my blood,
0.1,1,0.1,Happiness is watching  on Drunk History over and over again DrunkHistory PaulFTompkins,
-0.5,0.58,0.5,Senior Chief When you get too drunk to drive who are you going to callMe GhostbustersSenior God dammit Spencer,
0.05,1,0.05, lmao i was probably drunk bc i do not remember this,
-0.5,1,0.5,You ever get the urge to just get like shitface drunk on a Wednesday night Yeah Me neither,
-0.5,1,0.5,My friends are always drunk and Im always doing homework,
-0.6,1,0.6, But being drunk all the time is terribly bad for ones health,
-0.5,0.84,0.5,Me and Renee so drunk ,
-0.5,0.58,0.5,So if guns kill people I guess pencils misspell words cars drive drunk and spoons make people fat,
0.05,1,0.05,Tis the season to be warm and drunk,
-0.5,1,0.5,Ima be drunk asf tonight ,
0.13,1,0.125, I am not drunk this is what happens when you tweet and talk at the same time,
-0.25,1,0.25, LHarmon Im going back to chatting with   hes drunk all the time so I dont have to worry about typos,
-0.5,0.77,0.5,Call yo friends n lets get drunk,
-0.5,1,0.5,  bush must have been praying to Allah or maybe just drunk when he made that statement ,
-0.13,1,0.125,  funny,
-0.5,0.89,0.5,I literally had 2 beers and Im drunk,
-0.04,0.91,0.0375,I should probably not ever get drunk bc apparently I cant even walk a straight line sober,
-0.3,1,0.3,Jesus14 Ion remember I was drunk  hoeOmg we were just texting  hoeIm not ready for commitment  hoe,
-0.63,1,0.625,  WE ALL NEED TO GET DRUNK TOGETHER ASAP ,
0.03,1,0.029166667,love drunk ou black magic MTVStars Little Mix,
-0.65,1,0.65,When your friends drunk and you have to look after them because they keep doing stupid things ,
-0.37,0.75,0.366666667,Got to wake up in 7 hours Still drunk In a shit place mentally Fuck everything,
0,1,0, he was more drunk than he thought why are you swaying then,
-0.22,0.89,0.222222222,The fact that you dont think ignoring megetting black out drunk amp driving home isnt a big deal makes me wonder where your priorities are,
-0.5,1,0.5,I have to say my drunk boyfriend coming home in his smurf outfit carrying 2 McDonalds and 2 drinks is the highlight of my evening,
-0.15,1,0.15,Lows i really Just let my uncle get me drunk ,
0.17,1,0.169444444,Happy bday chica get super drunk this weekend ,
-0.5,0.75,0.5,7pm and Im already drunk adultlife,
-0.5,0.9,0.5,Ive made up my mind that Im getting drunk this weekend,
-0.5,1,0.5,You ever get kinda drunk at a staff party and charm your boss into giving you a promotion youre not qualified for ThreeBeerRobIsTheMan,
-0.5,1,0.5,Im so drunk MTVStars Miley Cyrus,
0.23,1,0.233333333, thanks I dont blame myself probably best purchase blacked out drunk Ive ever made,
-0.03,0.75,0.033333333,lts easy to make friends when everyone is drunk,
-0.15,0.9,0.15,If I could get drunk amp high of Pepsi  Ill be doneeee for it ,
-0.28,1,0.275, GURL I KNOW ADULTHOOD IS SCARY AF BUT AT LEAST I CAN GET DRUNK LEGALLY,
0.27,1,0.266666667,I love listening to 90 house music when Im drunk lol,
-0.5,0.62,0.5,Sharma13  too drunk to be grammatically correct,
-0.13,1,0.133333333,It feels a lot like youve started to get drunk Slowness heavy thumbs ringing ears Its alcohol without the fun of alcohol,
0.25,0.88,0.25,Y am I not drunk,
-0.34,0.85,0.34375, you a little drunk Hun,
-0.25,0.62,0.25, i think some people saying phil looked drunkhigh im not sure why dan felt like unrting though,
-0.38,1,0.375,I wanna get drunk tonight but its a Wednesday and Im already a borderline alcoholic,
-0.17,0.59,0.17, Drunk Me once changed my password to my high school boyfriend that I havent thought of since 1994s name,
-0.34,0.7,0.338095238, Yr the manfuckin stupid trump Trump is like drunk right  ,
-0.5,1,0.5,who gets drunk on a Wednesday,
-0.21,0.8,0.208333333,When ur on a cute boy w an earrings shoulders during radioactive but Estelle is too drunk and mad to take pics of me,
-0.5,0.59,0.5, Ill Know When Your Drunk Man,
-0.5,0.53,0.5, Im inviting myself to drunk week,
-0.5,1,0.5,Leah shook her head at  no I havent and we both got really drunk the night before the wedding and then it just happened gt,
0,0.61,0.000727273,PeterChappell hey Im very responsible you havent met the new Joe Im mature and everything except last night I was kinda drunk ,
0.2,0.7,0.2,I really need to get drunkasap,
0,1,0,a drivers ed teacher was arrested for driving drunk I love florida,
-0.13,0.49,0.128125,50 cent a mean drunk as are many lushes And I bet your Effen vodka taste like shit,
-0.1,0.8,0.1,So what we get drunkSo what we smoke weedWere just having funWe dont care who seesSo what we go outThats how its supposed to be,
-0.25,0.53,0.25,Ight Ill be in the back playing mortal combat with the trippy lights on getting drunk,
-0.04,1,0.039583333,zei skyping with drunk yutah wwww dont push yourself if your tired though ok,
-0.75,0.61,0.75,I cant wait to get real drunk during the holiday party and yell at the moon,
-0.5,1,0.5, you can leave on that train until you sing Roxanne by Sting drunk as a skunk from Manning,
-0.5,1,0.5,Can I just get drunk already,
-0.5,0.49,0.5,perez  drunk mat,
-0.33,0.8,0.328125,Im drunk and Im watching The Newsroom and Im feeling politicalWho knows what I might EricI mean say while drunk,
-0.24,0.53,0.2375,Low key mad that I was to drunk to remember the Cubs game I was at where eventual Cy Young winner Jake Arrieta pitched in ,
-0.23,0.47,0.225, apparently he was so drunk he put dope in his penis I dont know its like trying to read a 1st graders handwriting,
-0.5,1,0.5,  kourt reminds me of youu drunk slob kabob,
-0.13,1,0.125, exactly  and youre drunk all the time ,
-0.5,1,0.5,I brought Beth to a poetry reading we are both drunk,
-0.44,0.49,0.4375,This place seems determined to play every song from the past 20 years that Ive gotten drunk and cried to Time to go,
-0.17,0.77,0.166666667,Correction my uncle is drunk he has like a 16 oz natty light Poor choice,
-0.63,1,0.625, youre drunk,
-0.31,0.5,0.307291667,  i mean its pretty much impossible to get drunk on beers unless you drink 4 bottles in 5 minutes,
0.23,0.58,0.233333333,I wish i loved morningAs much as i love getting drunkAnd eat junk food,
-0.29,0.95,0.29453125, you silly girl But I think I know why youre so crazy today Youre cum drunk arent you Your bellys full of it You go,
-0.5,1,0.5,I want to be drunk like now ,
-0.5,0.7,0.5,Drunk Alicia is no longer allowed to eat in my car ,
-0.09,0.83,0.088,Am I deadAm I drunkAm I highAm I in loveYou fuck me up,
-0.36,0.6,0.360714286, I did indeed get a book and I am now very drunk on a single gampt what a life,
0.26,0.85,0.26,dw sound like I was drunk writing this while completely sober must just be tired but I love you lol that was a wrong,
0.15,1,0.15,sehic I need to but kinda drunk off wine lol,
0.18,1,0.183333333, thats true good thing we finished with Drunk kitchen,
0.15,0.75,0.15,What happened to the dougie Lol I remember us dancing to that drunk thinking we were killing it Ha,
-0.5,0.83,0.5,amp this time I wont be with my friend and I wont be drunk so lets see how it goes ha ha,
-0.5,0,0.5,I jist wanna get drunk even if its in my room,
-0.5,1,0.5,If she dont call u when she drunk thats not bae,
-0.09,1,0.087878788,During the week I live the life of an old lady I work eat watch jeopardy then go to bed then on the weekends I turn into a drunk maniac,
-0.42,0.4,0.416666667,    Seriously whos drunk now Nothing against Zoe Ball at all,
-0.5,0,0.5,  Is that supposed to be Tan Mom or a drunk ,
0,0.8,0,I used to be love drunk but now Im hungover ,
-0.5,1,0.5,Missed dorke  at gig tonight  Confronted a drunk guy about chatting through gig after calling him out twice,
-0.23,0.28,0.225,Only a week away from awkward drunk high school reunions at Magerks and Im stoked ,
-0.38,0.77,0.383333333,Theres an age where being drunk becomes pathetic but if you hang in there somewhere around 70 it becomes cool again,
0.05,1,0.053333333,am I the only one thats suddenly drunk high after every visit to the dentist,
0,1,0,What is the WEIRDEST most ABNORMAL thing you have ever done while blackout drunk,
0.25,0.4,0.25,We take the best drunk selfies ,
-0.5,0.5,0.5,tsaichai im gonna get drunk on boba ,
0.15,1,0.15,Drunk on a Wednesday and cant stop fangirling over my boyfriend I am happy with life tbh,
-0.5,0.6,0.5, time to get drunk,
-0.5,1,0.5,King obama has gotten drunk on the powerhes NOT going anywhere till he has destroyed America,
-0.5,0.64,0.5,I just want to get drunk tonight,
-0.5,0.63,0.5,Its a Wednesday night and Im so drunk tomorrow is going to be hell,
0.8,0.58,0.8, Im still saving up for her lol,
-0.25,0.6,0.25,i remember the first time i ever got really drunk i was by myself and i was in my room laying on the ground saying sorry michael,
-0.5,0.96,0.5,Been drunk since 3,
-0.5,0.63,0.5,Corrigan LITERALLY brought vodka into class his project is on how to make jello shots theyre getting drunk in class what is happening,
-0.12,1,0.116666667,PeterChappell that makes me sound like an alcoholic  but yeah Im drunk a lot ,
-0.2,0.63,0.2,One day youll realise that the things you do when drunk may not be things youd do sober but they are things youve though about,
-0.5,0.86,0.5,And Im drunk,
-0.5,1,0.5, Dickhead You DrunkWhen are you not,
-0.5,1,0.5,Call yo friends lets get drunk,
-0.5,1,0.5,Id rather be ya NIGGA So we can get drunk and smoke weed all day ,
-0.17,0.61,0.17,No guy can get me drunk or high and influence me to do anything I do what I wanna do910 its not you bitch,
-0.5,1,0.5,A week from today its Thanksgiving eve and I will already be drunk,
-0.17,1,0.166666667,Dont watch a show youve been watching on Netflix when youre drunk you will feel so lost when you go back to it the next day savealife,
-0.5,0.63,0.5,  Youre drunk Go home,
-0.62,0.86,0.619270833,I should get drunk too then so Yutan wont be lonely drunk,
0.8,1,0.8,Lol I still feel drunk,
-0.5,0.62,0.5,Might as well get drunk and hopefully what I enrolled in will fix my liver,
0.13,1,0.125,Drunk texted the gardener who mows my lawn at 3am like some kind of asshole Yes you can come and mow at 8am no worries buddy,
0.43,1,0.433333333,  A drunk JPat trolling 1040 now that would be priceless lol,
-0.04,0.77,0.04047619,But will someone please tell me why Clint types like hes a drunk 6 year old with very large fingers that got ahold of his mothers phone,
0.05,1,0.045454545,Do davo gotta new Drunk in Love song  Davo,
-0.15,0.77,0.15,I would prolly cry if I was drunk and somebody brought me a whole bunch of puppies,
-0.2,1,0.2, thats because Im drunk Trying to sober up ,
-0.2,1,0.2,I almost cut my freaking thumb off at work holy shit,
0.15,1,0.15, yea no kidding Pirate Ship was on point though whatmoneycanbuy lol drunk,
-0.5,1,0.5,DRUNK SHOPPING STEAK,
-0.5,0.76,0.5,Dont listen to my lust when Im drunk,
-0.25,0.5,0.25,gamergate Anyone know what happened to  And not this abortive current loser one The one with the pikachu costume who went drunk,
-0.5,1,0.5, you drunk,
1,1,1,When the best quotes from an IT conference are found in a selfhelp book I think I can save my 2K and hit Amazon instead,
-0.44,1,0.4421875, It does sound crazy I guy who hit my husband amp I was totally drunk And I still had to go thru years of BS,
-0.34,0.76,0.34375,paige Place the rest on the table Feeling a little drunk,
-0.5,0.5,0.5,Ill be a drunk fool ,
-0.5,0.63,0.5,Too drunk too care that my dog is drinking my cup of tea,
0,1,0,Everyone please keep my cousin Terren in your prayers He was hit by a drunk driver and hes not doing well I love you bub stay strong,
-0.5,1,0.5,i just want to get drunk smoke a blunt and vibe to music,
-0.22,0.8,0.218055556,Im at that awkward age where half of my friends are getting married and having babies and the other half are too drunk to find their phones,
-0.5,1,0.5, Ireland has a language I thought that was the drunk speak,
0.03,1,0.033333333, the only explanation is that shes drunk LMAO,
-0.5,0.6,0.5, oh yeah pug got pumpkin drunk off these doggy pies pugchat ,
-0.5,0.83,0.5, amp I have been trying to finish House of Cards Season 3 since it came out but we always get too drunk to pay attention,
0.2,0.68,0.203125, Mr President Im on SSD I do not make much money a drunk driver hit me while I was walking Im intelligent and willing 4 a job,
0.33,0.67,0.333333333,And in the end we were all just humansdrunk on the idea that love only love could heal our brokenness,
-0.03,1,0.033333333,Kathryne ok but do you wanna get drunk tuesday through saturday minus thursday because i have to go to mamas,
0.03,0.63,0.025,more drunk than I wanted to admit for a Thursday  youre a bad influence Im too young pretty amp innocent for this behaviour,
-0.5,0.83,0.5,  You are not allowed to talk to people when you pray to Allah Drunk I wouldnt say so,
-0.5,0.9,0.5, they make him glue googly eyes on it and hang it on the fridge everybody gets drunk and makes hand turkeys,
0.5,1,0.5, Kane88  I love you,
-0.06,1,0.0625, r u drunk am i some rich ass person to you now,
0.19,0.6,0.1875,gambit Hmm this is solid reasoning but I still want to be bewildered Excited to hear that a guide is being made though,
0.13,0.83,0.125,Left my credit card at the bar and had to explain its not a drunk thing its a me thing blondeproblems,
-0.06,0.63,0.0625,Ill be drunk again to feel a little love,
-0.2,0.5,0.2,Write drunk edit sober finallydone   ,
-0.13,0.53,0.125,the army let 13 yos get married off and 14 yos work fulltime but wouldnt let them get drunk,
-0.5,0.83,0.5,This drunk guy at the bowling alley is teaching my boyfriend some skillzzzz,
-0.08,0.63,0.078571429,Welp Im too drunk to leave the bar right now let me get another round to sober up with,
-0.5,0.75,0.5, because the grass was slippier  i wasnt drunk on homecoming just the night after ,
-0.5,0.95,0.5, so just change the rules to I dont smoke unless Im drunk,
-0.5,0.75,0.5,Childhood is like being drunk Everyone remembers what you did except you,
0.03,0.85,0.025,versace thats why I love Mexico the bars open  8 so Im getting drunk early eh he,
0.08,0.85,0.083333333, Dennis Quaid as Lucky Luciano on the most recent Drunk History,
-0.5,0.75,0.5,Word of adviceGet drunk and listen to my music,
-0.5,0.75,0.5,my mom talking about peeing while getting drunk its like once your cherry is popped you cant stop,
0.17,0.95,0.166666667, Last time I did that via Carstairs I ended up the best mate of a drunk Celtic fan who thought he could get off in Cumbria,
0,0.75,0, the LAST people I wanna get drunk with are hillbillies that think studded cowboy boots are ok,
-0.15,0.85,0.15,that video of drunk girls crying over puppies is me every day at workexcept I am not drunk at work you get the point,
-0.5,0.95,0.5,Rlllllly just want to get drunk Fck,
-0.42,1,0.416666667, ooooooo  Ill get extra drunk just for you,
-0.5,0.47,0.5,my moms so drunk she wont stop accusing me of sniffing glue mom chill,
-0.2,0.85,0.2,Drunk actions are sober thoughts no,
-0.17,0.95,0.166666667,Nanas had 2 sips of her Sangria amp shes already starting to acting drunk  Now I know why Im a lightweight ,
-0.5,0.8,0.5,Well we tried to make a Pinterest craft and ended up getting drunk instead,
0,1,0, America nah not even bashir,
-0.25,0.82,0.25,Hey   this is mine and s formal invite to yall for us to get drunk and cry about dogs next week ,
-0.17,0,0.17,Hopefully my professor is either high or drunk when grading my test amp MAYBE Ill get a 70,
-0.5,1,0.5,If she dont call u when she drunk thats not ya bitch,
-0.98,0.63,0.9765625,DRUNK,
-0.5,0.62,0.5, I just wanna get drunk,
-0.17,0.75,0.166666667,Made this account drunk the only person Im following is Kevin hart,
-0.65,0.95,0.65,All I can hear is some very drunk sounding guy screaming Ashley ,
-0.07,0.95,0.066666667,Drunk in love is STILL my shit ,
-0.98,0.65,0.9765625, Drunk on Delusion,
-0.08,0.8,0.078125,  I didnt mean he was praying and talking at the very same time drunk possible He did drink actually ,
-0.19,1,0.188,Wasted high on the West Side Highway drunk enough to fuck faces  ,
-0.02,1,0.015625,Thinking back on last nightDid shrooms and got drunk Not a bad night,
0.05,0.63,0.05,Why is my bedroom bang in front of the Union I swear hearing shitty chanting off drunk people is a nightly occurs nice,
-0.2,0.62,0.2,   light in this abyss of darkness and selfish with pleasure I had perused her drunk with the newness of ,
